Language,Patch_Size
C,9
C,9
C,9
C,9
C,9
C,9
C,9
C,9
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,17
C,7
C,7
C,7
C,7
C,7
C,7
C,7
C,7
C,19
C,19
C,19
C,19
C,19
C,19
C,19
C,19
C,18
C,18
C,18
C,18
C,18
C,18
C,18
C,18
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,16
C,6
C,6
C,6
C,6
C,6
C,6
C,6
C,6
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,5
C,9
C,9
C,9
C,9
C,9
C,9
C,9
C,9
C,8
C,8
C,8
C,8
C,8
C,8
C,8
C,8
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,221
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,7
C,7
C,7
C,7
C,7
C,7
C,7
C,7
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,189
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,30
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,41
C,9
C,9
C,9
C,9
C,9
C,9
C,9
C,9
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,119
C,27
C,27
C,27
C,27
C,27
C,27
C,27
C,27
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
unknown,58
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,52
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,14
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,82
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,44
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,42
C,9
C,9
C,9
C,9
C,9
C,9
C,9
C,9
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,10
C,5
C,5
C,5
C,5
C,5
C,5
C,5
