cve_id,cwe_id,hash,stars,forks,num_files_changed,num_functions_changed,lines_added,lines_deleted,commit_message_length,repository_age,has_cwe_description,language_Batchfile,language_C,language_C#,language_C++,language_CSS,language_CoffeeScript,language_Erlang,language_Go,language_HTML,language_Haskell,language_Java,language_JavaScript,language_Jupyter Notebook,language_Lua,language_Markdown,language_Matlab,language_Objective-C,language_PHP,language_Perl,language_PowerShell,language_Python,language_R,language_Ruby,language_Rust,language_SQL,language_Scala,language_Shell,language_Swift,language_TypeScript,language_Unknown,language_unknown
CVE-2022-0265,CWE-611,4d6b666cd0291abd618c3b95cdbb51aa4208e748,6001.0,1815.0,3,30,213,48,106,0,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2020-5240,CWE-863,ac23550d33b7436e90e3beea904647907eba5b74,84.0,43.0,4,16,188,4,312,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CVE-2023-5873,CWE-79,757375677dc83a44c6c22f26d97452cc5cda5d7c,3270.0,1420.0,14,0,186,0,880,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2023-4381,NVD-CWE-Other,58f8b9941b53b606a1b15a4364005cd2b1965507,292.0,119.0,3,3,53,39,51,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2024-24821,CWE-829,64e4eb356b159a30c766cd1ea83450a38dc23bf5,28423.0,4495.0,7,1,237,44,193,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2021-29549,CWE-369,744009c9e5cc5d0447f0dc39d055f917e1fd9e16,184259.0,74089.0,2,2,4,0,144,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CVE-2022-23949,CWE-290,e429e95329fc60608713ddfb82f4a92ee3b3d2d9,400.0,143.0,2,8,70,0,161,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CVE-2024-27094,NVD-CWE-noinfo,92224533b1263772b0774eec3134e132a3d7b2a6,24550.0,11709.0,8,0,102,18,442,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2022-35934,CWE-617,61f0f9b94df8c0411f0ad0ecc2fec2d3f3c33555,184259.0,74089.0,4,4,28,0,185,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2022-24710,CWE-79,f6753a1a1c63fade6ad418fbda827c6750ab0bda,4389.0,977.0,2,4,4,2,93,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CVE-2021-32646,NVD-CWE-noinfo,fbe2ae8ec851a2e9e3e2370db3b812f268e8c8cb,31.0,28.0,2,4,10,18,29,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CVE-2020-15160,CWE-89,3fa0dfa5a8f4b149c7c90b948a12b4f5999a5ef8,7945.0,4766.0,0,0,0,0,90,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
CVE-2020-11710,NVD-CWE-Other,dfa095cadf7e8309155be51982d8720daf32e31c,1370.0,827.0,4,0,8,6,163,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2021-38114,CWE-252,7150f9575671f898382c370acae35f9087a30ba1,43969.0,11902.0,2,4,30,14,278,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2022-3099,CWE-416,35d21c6830fc2d68aca838424a0e786821c5891c,35682.0,5349.0,6,4,32,2,188,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2021-43849,CWE-617,27434a240f97f69fd930088654590c8ba43569df,319.0,189.0,1,7,6,3,51,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
CVE-2020-9757,CWE-74,65ab659cb6c914c7ad671af1e417c0da2431f79b,163.0,68.0,2,0,6,0,13,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CVE-2020-15269,CWE-613,e43643abfe51f54bd9208dd02298b366e9b9a847,12775.0,4926.0,6,4,44,4,67,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
CVE-2022-24128,CWE-863,c8b8516e466c2bb7d2ae6a4b0b2e8e60b24b24a2,16935.0,858.0,22,0,357,184,588,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
